Benefit Group,Dental Code,Description,Frequency/Limitations,In-Network Coverage,Out-of-Network Coverage
Oral surgery (continued),D7451,Removal of benign odontogenic cyst or tumor – lesion diameter greater than 1.25 cm,Unlimited up to annual maximum,100%,100%
Oral surgery (continued),D7509,Marsupialization of odontogenic cyst,Unlimited up to annual maximum,100%,100%
Intraoral X-rays (inside the mouth),D7510,Incision and drainage of abscess – intraoral soft tissue,Unlimited up to annual maximum,100%,100%
Intraoral X-rays (inside the mouth),D7511,Incision and drainage of abscess – intraoral soft tissue – complicated (includes drainage of multiple fascial spaces),Unlimited up to annual maximum,100%,100%
Oral surgery (continued),D7560,Maxillary sinusotomy for removal of,Unlimited up to annual maximum,100%,100%
Oral surgery (continued),D7921,Collection and application of autologous blood concentrate product,Unlimited up to annual maximum,100%,100%
Oral surgery (continued),D7955,Repair of maxillofacial soft and/or hard tissue defect,Unlimited up to annual maximum,100%,100%
Oral surgery (continued),D7957,"Guided tissue regeneration, edentulous area – non-resorbable barrier, per site",Unlimited up to annual maximum,100%,100%
Oral surgery (continued),D7961,Buccal/labial frenectomy (frenulectomy),Unlimited up to annual maximum,100%,100%
Oral surgery (continued),D7962,Lingual frenectomy (frenulectomy),Unlimited up to annual maximum,100%,100%
Oral surgery (continued),D7963,Frenuloplasty,Unlimited up to annual maximum,100%,100%
Adjunctive general services,D9110,Palliative treatment of dental pain – per visit,Unlimited up to annual maximum,100%,100%
Anesthesia,D9222,"Administration of deep sedation/general anesthesia – first 15 minute increment, or any portion thereof",Unlimited up to annual maximum,100%,100%
Anesthesia,D9223,"Administration of deep sedation/general anesthesia – each subsequent 15 minute increment, or any portion thereof",Unlimited up to annual maximum,100%,100%
Anesthesia,D9239,"Administration of moderate sedation – intravenous – first 15 minute increment, or any portion thereof",Unlimited up to annual maximum,100%,100%
Anesthesia,D9243,"Administration of moderate sedation – intravenous – each subsequent 15 minute increment, or any portion thereof",Unlimited up to annual maximum,100%,100%
Anesthesia,D9246,"Administration of moderate sedation – non-intravenous parenteral – first 15 minute increment, or any portion thereof",Unlimited up to annual maximum,100%,100%
Anesthesia,D9247,"Administration of moderate sedation – non-intravenous parenteral – each subsequent 15 minute increment, or any portion thereof",Unlimited up to annual maximum,100%,100%
"exclusions, subject to clinical review)",D9230,Administration of nitrous oxide,Unlimited up to annual maximum,100%,100%
Miscellaneous services,D9944,"Occlusal guard – hard appliance, full arch",Unlimited up to annual maximum,100%,100%
Miscellaneous services,D9945,"Occlusal guard – soft appliance, full arch",Unlimited up to annual maximum,100%,100%
Miscellaneous services,D9946,"Occlusal guard – hard appliance, partial arch",Unlimited up to annual maximum,100%,100%
Miscellaneous services,D9951,Occlusal adjustment – limited,Unlimited up to annual maximum,100%,100%
