Benefit Group,Dental Code,Description,Frequency/Limitations,In-Network Coverage,Out-of-Network Coverage
"Prosthodontics, fixed",D6250,"Pontic, resin with high noble metal","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6251,"Pontic, resin with predominantly base metal","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6252,"Pontic, resin with noble metal","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6545,"Retainer, cast metal for resin bonded fixed prosthesis","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6548,"Retainer, porcelain/ceramic, resin bonded fixed prosthesis","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6549,"Resin retainer, for resin bonded fixed prosthesis","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6600,"Retainer inlay, porcelain/ceramic, two surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6601,"Retainer inlay, porcelain/ceramic, three or more surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6602,"Retainer inlay, cast high noble metal, two surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6603,"Retainer inlay, cast high noble metal, three or more surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6604,"Retainer inlay, cast base metal, two surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6605,"Retainer inlay, cast base metal, three or more surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6606,"Retainer inlay, cast noble metal, two surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6607,"Retainer inlay, cast noble metal, three or more surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6608,"Retainer onlay, porcelain/ceramic, two surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6609,"Retainer onlay, porcelain/ceramic, three or more surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6610,"Retainer onlay, cast high noble metal, two surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6611,"Retainer onlay, cast high noble metal, three or more surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6612,"Retainer onlay, cast base metal, two surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6613,"Retainer onlay, cast base metal, three or more surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6614,"Retainer onlay, cast noble metal, two surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6615,"Retainer onlay, cast noble metal three or more surfaces","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6710,"Retainer crown, indirect resin based composite","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6720,"Retainer crown, resin with high noble metal","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6721,"Retainer crown, resin with predominantly base metal","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6722,"Retainer crown, resin with noble metal","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6740,"Retainer crown, porcelain/ceramic","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6750,"Retainer crown, porcelain fused to high noble metal","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6751,"Retainer crown, porcelain fused to predominantly base metal","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6752,"Retainer crown, porcelain fused to noble metal","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6753,"Retainer crown, porcelain fused to titanium and titanium alloys","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6780,"Retainer crown,¾ cast high noble metal","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6781,"Retainer crown, ¾ cast predominantly base metal","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6782,"Retainer crown, ¾ cast noble metal","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6783,"Retainer crown, ¾ porcelain/ceramic","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6790,"Retainer crown, full cast high noble metal","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6791,"Retainer crown, full cast predominantly base metal","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6792,"Retainer crown, full cast noble metal","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6794,"Retainer crown, titanium and titanium alloys","1 of (D2542-D2794, D6205-D6794) per tooth every 5 calendar years",-,-
"Prosthodontics, fixed",D6930,Re-cement or re-bond fixed partial denture,-,-,-
"Prosthodontics, fixed",D6980,"Fixed partial denture repair, restorative material failure",-,-,-
Oral and Maxillofacial Surgery,D7111,"Extraction, coronal remnants, primary tooth",-,-,-
Oral and Maxillofacial Surgery,D7140,"Extraction, erupted tooth or exposed root",-,-,-
Oral and Maxillofacial Surgery,D7210,"Extraction, erupted tooth requiring removal of bone and/or sectioning of tooth",-,-,-
Oral and Maxillofacial Surgery,D7220,"Removal of impacted tooth, soft tissue",-,-,-
Oral and Maxillofacial Surgery,D7230,"Removal of impacted tooth, partially bony",-,-,-
Oral and Maxillofacial Surgery,D7240,"Removal of impacted tooth, completely bony",-,-,-
Oral and Maxillofacial Surgery,D7241,"Removal impacted tooth, complete bony, complication",-,-,-
Oral and Maxillofacial Surgery,D7250,Removal of residual tooth roots (cutting procedure),-,-,-
Oral and Maxillofacial Surgery,D7260,Oroantral fistula closure,1 (D7260) per site in a lifetime,-,-
Oral and Maxillofacial Surgery,D7261,Primary closure of a sinus perforation,1 (D7261) per site in a lifetime,-,-
Oral and Maxillofacial Surgery,D7270,"Tooth reimplantation and/or stabilization, accident",1 (D7270) per tooth in a lifetime,-,-
Oral and Maxillofacial Surgery,D7280,Exposure of an unerupted tooth,1 (D7280) per tooth in a lifetime,-,-
Oral and Maxillofacial Surgery,D7285,"Incisional biopsy of oral tissue, hard (bone, tooth)",1 (D7285) per site every 2 calendar years,-,-
Oral and Maxillofacial Surgery,D7286,"Incisional biopsy of oral tissue, soft",1 (D7286) per site every 2 calendar years,-,-
Oral and Maxillofacial Surgery,D7288,"Brush biopsy, transepithelial sample collection",1 (D7288) per site every 2 calendar years,-,-
Oral and Maxillofacial Surgery,D7310,"Alveoloplasty with extractions, four or more teeth per quadrant",1 of (D7310-D7321) per site quad in a lifetime,-,-
Oral and Maxillofacial Surgery,D7311,"Alveoloplasty with extractions, one to three teeth per quadrant",1 of (D7310-D7321) per site quad in a lifetime,-,-
Oral and Maxillofacial Surgery,D7320,"Alveoloplasty, w/o extractions, four or more teeth per quadrant",1 of (D7310-D7321) per site quad in a lifetime,-,-
Oral and Maxillofacial Surgery,D7321,"Alveoloplasty, w/o extractions, one to three teeth per quadrant",1 of (D7310-D7321) per site quad in a lifetime,-,-
Oral and Maxillofacial Surgery,D7340,"Vestibuloplasty, ridge extension (2nd epithelialization)",1 (D7340) per site/quad in a lifetime,-,-
Oral and Maxillofacial Surgery,D7350,"Vestibuloplasty, ridge extension",1 (D7350) per site/quad in a lifetime,-,-
Oral and Maxillofacial Surgery,D7410,"Excision of benign lesion, up to 1.25 cm",-,-,-
Oral and Maxillofacial Surgery,D7411,"Excision of benign lesion, greater than 1.25 cm",-,-,-
Oral and Maxillofacial Surgery,D7412,"Excision of benign lesion, complicated",-,-,-
Oral and Maxillofacial Surgery,D7413,"Excision of malignant lesion, up to 1.25 cm",-,-,-
Oral and Maxillofacial Surgery,D7414,"Excision of malignant lesion, greater than 1.25 cm",-,-,-
Oral and Maxillofacial Surgery,D7415,"Excision of malignant lesion, complicated",-,-,-
Oral and Maxillofacial Surgery,D7440,"Excision of malignant tumor, up to 1.25 cm",-,-,-
Oral and Maxillofacial Surgery,D7441,"Excision of malignant tumor, greater than 1.25 cm",-,-,-
Oral and Maxillofacial Surgery,D7450,"Removal, benign odontogenic cyst/tumor, up to 1.25 cm",-,-,-
Oral and Maxillofacial Surgery,D7451,"Removal, benign odontogenic cyst/tumor, greater than 1.25 cm",-,-,-
Oral and Maxillofacial Surgery,D7460,"Removal, benign nonodontogenic cyst/tumor, up to 1.25 cm",-,-,-
Oral and Maxillofacial Surgery,D7461,"Removal, benign nonodontogenic cyst/tumor, greater than 1.25 cm",-,-,-
Oral and Maxillofacial Surgery,D7465,"Destruction of lesion(s) by physical or chemical method, by report",-,-,-
Oral and Maxillofacial Surgery,D7471,"Removal of lateral exostosis, maxilla or mandible",1 (D7471) per arch in a lifetime,-,-
Oral and Maxillofacial Surgery,D7472,Removal of torus palatinus,1 (D7472) in a lifetime,-,-
Oral and Maxillofacial Surgery,D7473,Removal of torus mandibularis,1 (D7473) in a lifetime,-,-
Oral and Maxillofacial Surgery,D7485,Reduction of osseous tuberosity,1 (D7485) per site/quad in a lifetime,-,-
Oral and Maxillofacial Surgery,D7510,"Incision & drainage of abscess, intraoral soft tissue",-,-,-
Oral and Maxillofacial Surgery,D7511,"Incision & drainage of abscess, intraoral soft tissue, complicated",-,-,-
Oral and Maxillofacial Surgery,D7520,"Incision & drainage of abscess, extraoral soft tissue",-,-,-
Oral and Maxillofacial Surgery,D7521,"Incision & drainage of abscess, extraoral soft tissue, complicated",-,-,-
Oral and Maxillofacial Surgery,D7530,"Remove foreign body, mucosa, skin, tissue",-,-,-
Oral and Maxillofacial Surgery,D7540,"Removal of reaction producing foreign bodies, musculoskeletal system",-,-,-
Oral and Maxillofacial Surgery,D7953,"Bone replacement graft for ridge preservation, per site",1 (D7953) per site in a lifetime,-,-
Oral and Maxillofacial Surgery,D7961,Buccal / labial frenectomy (frenulectomy),1 (D7961) per arch every 5 calendar years,-,-
Oral and Maxillofacial Surgery,D7962,Lingual frenectomy (frenulectomy),1 (D7962) every 5 calendar years,-,-
Oral and Maxillofacial Surgery,D7963,Frenuloplasty,1 (D7963) every 5 calendar years,-,-
Oral and Maxillofacial Surgery,D7970,"Excision of hyperplastic tissue, per arch",1 (D7970) per arch every 5 calendar years,-,-
Oral and Maxillofacial Surgery,D7971,Excision of pericoronal gingiva,1 (D7971) per tooth in a lifetime,-,-
Oral and Maxillofacial Surgery,D7972,Surgical reduction of fibrous tuberosity,1 (D7972) per quad in a lifetime,-,-
Oral and Maxillofacial Surgery,D7997,"Appliance removal (not by dentist who placed appliance), includes removal of archbar",1 (D7997) every 5 calendar years,-,-
Adjunctive General Services,D9110,"Palliative (emergency) treatment, minor procedure",2 (D9110) every calendar year,-,-
Adjunctive General Services,D9120,Fixed partial denture sectioning,-,-,-
Adjunctive General Services,D9222,"Deep sedation/general anesthesia, first 15 minute increment",-,-,-
Adjunctive General Services,D9223,"Deep sedation/general anesthesia, each subsequent 15 minute increment",-,-,-
Adjunctive General Services,D9230,"Inhalation of nitrous oxide/analgesia, anxiolysis",-,-,-
Adjunctive General Services,D9239,"Intravenous moderate (conscious) sedation/analgesia, first 15 minute increment",-,-,-
Adjunctive General Services,D9243,"Intravenous moderate (conscious) sedation/analgesia, each subsequent 15 minute increment",-,-,-
Adjunctive General Services,D9248,"Non-intravenous (conscious) sedation, includes non-IV minimal and moderate sedation",-,-,-
Adjunctive General Services,D9310,"Consultation, other than requesting dentist",-,-,-
Adjunctive General Services,D9410,House/extended care facility call,-,-,-
Adjunctive General Services,D9610,"Therapeutic parenteral drug, single administration",-,-,-
Adjunctive General Services,D9910,Application of desensitizing medicament,1 (D9910) every calendar year,-,-
Adjunctive General Services,D9911,"Application of desensitizing resin for cervical, root surface, per tooth",1 (D9911) per tooth every calendar year,-,-
Adjunctive General Services,D9930,"Treatment of complications, post surgical, unusual, by report",-,-,-
Adjunctive General Services,D9942,Repair and/or reline of occlusal guard,1 (D9942) every calendar year,-,-
Adjunctive General Services,D9944,"Occlusal guard, hard appliance, full arch",1 of (D9944-D9946) every 3 calendar years,-,-
Adjunctive General Services,D9945,"Occlusal guard, soft appliance, full arch",1 of (D9944-D9946) every 3 calendar years,-,-
Adjunctive General Services,D9946,"Occlusal guard, hard appliance, partial arch",1 of (D9944-D9946) every 3 calendar years,-,-
Adjunctive General Services,D9950,"Occlusion analysis, mounted case",-,-,-
Adjunctive General Services,D9951,"Occlusal adjustment, limited","1 of (D9951, D9952) every 2 calendar years",-,-
Adjunctive General Services,D9952,"Occlusal adjustment, complete","1 of (D9951, D9952) every 2 calendar years",-,-
Adjunctive General Services,D9995,"Teledentistry, synchronous; real-time encounter","2 of (D9995, D9996) every calendar year",-,-
Adjunctive General Services,D9996,"Teledentistry, asynchronous; information stored and","2 of (D9995, D9996) every calendar year",-,-
